id,category,subcategory,arabic,targetLanguage,originalText,arabicTranslation,literalTranslation,arabicPronunciation,country,region,dialect,register,audience,gender,ageGroup,situation,tone,formality,familiarity,frequency,culturalNotes,usageNotes,alternatives,relatedPhrases,confidence,sources,noDirectArabic
TJ004,A جذب,نداء,تعال شوف,tg,"Биёед, бинед",تعال انظر,,بيوييد، بينيد,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,جذب,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,J3,no
TJ005,A جذب,جديد,وصل اليوم,tg,Нав омад,وصل جديد,,نوْ آمد,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,نداء حداثة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,متوسطة,J3,no
TJ006,C مخاطبة,رجل,يا أخوي,tg,Ака,يا أخ (أكبر),,أكا,طاجيكستان,عام,,شعبي,الجميع,رجل,الجميع,مخاطبة رجل,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Ҷаноб,,عالية,J3,no
TJ007,C مخاطبة,امرأة,يا أختي / يا أستاذة,tg,Апа,يا أخت (أكبر),,أپا,طاجيكستان,عام,,شعبي,الجميع,امرأة,الجميع,مخاطبة امرأة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Хонум,,عالية,J3,no
TJ008,C مخاطبة,رجل مهذب,يا أستاذ,tg,Ҷаноб,يا جناب,,جناب,طاجيكستان,عام,,محترم وودود,الجميع,رجل,الجميع,أدب أعلى,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,J3,no
TJ009,C مخاطبة,امرأة مهذبة,يا مدام,tg,Хонум,يا خانم / سيدتي,,خانم,طاجيكستان,عام,,محترم وودود,الجميع,امرأة,الجميع,أدب أعلى,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,J3,no
TJ010,L ضيافة,شاي,تفضل شاي؟,tg,Чой бинӯшед,اشرب شاي,,چوي بينوشيد,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,دكان تقليدي/بازار,ودود,شعبي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ011,D اكتشاف,متفرج,خذ راحتك,tg,"Марҳамат, озодона бинед",تفضل انظر بحرية,,مرحمت، أزودونا بينيد,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,رد المتفرج,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,متوسطة,J3,no
TJ012,H سعر,سؤال,بكم؟,tg,Ин чанд пул?,بكم هذا؟,,إن چند پول,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,سؤال سعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Нархаш чанд?|Сколько стоит?,,عالية,J1,no
TJ013,H سعر,آخر سعر,آخر سعر,tg,Нархи охирин,آخر سعر,,نرخِ آخرين,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,تفاوض,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,متوسطة,J3,no
TJ014,G اعتراض,غالي,غالي,tg,Ин хеле қиммат,هذا غالي جدًا,,إن هيلي قِيمت,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,اعتراض زبون,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Ин бисёр ҳам қиммат,,عالية,J1,no
TJ015,G اعتراض,رد جودة,غالي؟ شوف الجودة,tg,"Қиммат не, сифаташ дигар",مو غالي، جودته غير,,قِيمت ني، صفاتش ديغر,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,رد البائع,ودود,شعبي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ016,H خصم,شخصي,عشانك,tg,Барои шумо нарх медиҳам,أعطيك سعرًا,,براي شومو نرخ مِديهم,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,خصم شخصي,ودود,شعبي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ017,H خصم,دخيل روسي,خصم,tg,Скидка медиҳам,أعطيك خصمًا,,سكيدكا مديهم,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,سوق مختلط,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,J4,yes
TJ018,H تفاوض,كمية,إذا أخذت اثنين,tg,"Агар дуто гиред, тахфиф мекунам",إذا أخذت اثنين أخصم,,أغر دوتو غيريد، تخفيف ميكنم,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,خصم مشروط,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,متوسطة,J3,no
TJ019,I إغلاق,كيس,نغلفها / كيس,tg,Пакет лозим? / Печон?,تبغي كيس / أغلف؟,,پاكت لازِم,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,إغلاق,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,J1 J4,no
TJ020,K وداع,عودة,حياك مرة ثانية,tg,Боз биёед,تعال مرة ثانية,,باز بيوييد,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,توديع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,То дидор|Хайр,,عالية,J3,no
TJ021,K وداع,شكر,شكرًا,tg,Ташаккур / Раҳмат,شكرًا,,تشكور / رحمت,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,شكر,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,J1,no
TJ022,E عرض,جودة,جودة ممتازة,tg,Сифаташ хуб,جودته طيبة,,صفاتش خوب,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,مدح,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,J3,no
TJ023,E عرض,أصلي,أصلي مو تقليد,tg,"Аслӣ, на қалбакӣ",أصلي لا مزيف,,أصلي، نَ قلبكي,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,تمييز,ودود,شعبي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ024,N غضب,اعتذار,معك حق,tg,Шумо ҳақ доред. Ман гӯш мекунам,معك حق أسمعك,,شومو حق داريد,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,غاضب,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ025,N إرجاع,تبديل,نبدله,tg,Иваз мекунем,نبدّل,,إيوز ميكنيم,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,إرجاع,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ026,K دائم,غبت,من زمان ما شفناك,tg,Кайҳо шуморо надидем,ما شفناكم من زمان,,كايها شومورو نَديديم,طاجيكستان,عام,,عفوي,زبون دائم,الجميع,الجميع,دائم,ودود,عفوي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ027,A جذب,خصم,عندنا خصم,tg,Тахфиф ҳаст,في خصم,,تخفيف هست,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,جذب,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,J3,no
TJ028,H سعر,عملة,هذا السعر,tg,Нархаш … сомонӣ,سعره … سوموني,,نرخَش … سوموني,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,ذكر السعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,J1,yes
TJ029,L مائدة,هنيئًا,بالعافية,tg,Нӯш ҷон,هنيئًا,,نوش جان,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,طعام,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,متوسطة,J3,yes
TJ030,C مخاطبة,تحذير,يا حبيبتي,tg,Ҷонам / азизам,يا روحي / يا عزيزي — لا تُقال لغريبة,,جانم / عزيزم,طاجيكستان,عام,,حميمي,الجميع,امرأة,الجميع,⚠️ غريبة,ودود,حميمي,منخفضة,⚠️ حساسة,,,,,عالية,J3,no
TJ031,D اكتشاف,حاجة,شو بدك؟,tg,Чӣ лозим? / Чӣ меҷӯед?,إيش لازم / إيش تدور؟,,چي لازِم,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,فتح حديث,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,متوسطة,J3,no
TJ032,G اعتراض,بديل,خيار أرخص,tg,Яке арзонтар нишон диҳам,أوريك واحد أرخص,,يكى أرزونتر نيشان دِهم,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,تحويل غالي,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ033,K غير مشترٍ,باب مفتوح,تعال أي وقت,tg,Харидан шарт нест. Бори дигар биёед,الشراء مش شرط. تعال مرة ثانية,,خريدن شرط نيست,طاجيكستان,عام,,محترم وودود,الجميع,الجميع,الجميع,لم يشترِ,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ034,H تفاوض,تحت هذا لا,هذا أقل سعر,tg,Аз ин поён намешавад,تحت هذا ما ينزل,,أز إن پاين نمى شود,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,إغلاق نزول,ودود,شعبي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
TJ035,J إضافي,مكمل,خذ معها,tg,"Инро ҳам гиред, мувофиқ аст",خذ هذا أيضًا يناسبه,,إنرو هم غيريد,طاجيكستان,عام,,شعبي,الجميع,الجميع,الجميع,بيع إضافي,ودود,شعبي,منخفضة,⭐ شائعة,,,,,متوسطة,J3,no
FR001,B ترحيب,إلزام اجتماعي,أهلًا / السلام عليكم,fr,Bonjour Monsieur / Madame,صباح الخير يا سيد/سيدتي,,بونجور مسيو / مادام,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,أول كلمة عند الدخول,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,الدخول بلا Bonjour يُعد وقاحة.,,,,عالية,F1 F5,yes
FR002,B ترحيب,ترحيب,أهلًا وسهلًا,fr,Bienvenue,مرحبًا بكم,,بيانْڤو,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,محل سياحي/فندق,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,F2,no
FR003,B ترحيب,دعوة,تفضل,fr,Je vous en prie,تفضل / العفو / تفضل ادخل,,جو ڤوز آن پري,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,متعددة الوظائف,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,yes
FR004,D اكتشاف,مساعدة,كيف أقدر أساعدك؟,fr,Je peux vous aider ?,أقدر أساعدكم؟,,جو پُو ڤو زيديه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,بعد السلام,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR005,D اكتشاف,متفرج,بس أتفرج,fr,Je ne fais que regarder,أتفرج فقط,,جو نُ فاي كُ رغارديه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,الزبون يتفرج,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR006,D اكتشاف,رد متفرج,خذ راحتك,fr,"Bien sûr, je vous laisse regarder",طبعًا أتركك تنظر,,بيان سور، جو ڤو ليس رغارديه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,رد البائع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Prenez votre temps,,عالية,F1,no
FR007,A جذب,سوق,تعال شوف,fr,Venez voir / Approchez,تعال انظر / اقترب,,ڤنيه ڤوار / آپروشيه,فرنسا/فرنكوفونية,عام,,شعبي,الجميع,الجميع,الجميع,marché / سوق شعبي,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,F1,no
FR008,A جذب,عرض,عندنا عرض,fr,C’est soldé / Y a une promo,عليه تخفيض / في عرض,,سي سولديه / يا يون پرومو,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,عروض,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR009,C مخاطبة,رجل,يا أستاذ,fr,Monsieur,يا سيد,,مسيو,فرنسا,عام,,محترم وودود,الجميع,رجل,الجميع,أي رجل بالغ غريب,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F1,no
FR010,C مخاطبة,امرأة,يا أستاذة / يا مدام,fr,Madame,يا سيدة,,مادام,فرنسا,عام,,محترم وودود,الجميع,امرأة,الجميع,أي امرأة بالغة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,Mademoiselle حساسة في فرنسا المعاصرة.,,,,عالية,F1,no
FR011,H سعر,سؤال,بكم؟,fr,C’est combien ?,بكم؟,,سي كوميان,فرنسا,عام,,شعبي,الجميع,الجميع,الجميع,سؤال سعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,F1 F2,no
FR012,H سعر,ثابت,السعر ثابت,fr,C’est le prix affiché,هذا السعر المعلن,,سي لُ پري أفيشيه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,متجر حديث,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,no
FR013,H خصم,لفتة,عشانك أنزل شوي,fr,Je vous fais un geste,أعمل لك لفتة (خصم صغير),,جو ڤو فاي أون جيست,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,خصم مسموح,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,F5,yes
FR014,H خصم,سعر خاص,عشانك,fr,Je vous fais un prix,أعطيك سعرًا,,جو ڤو فاي أون پري,فرنسا/المغرب/غرب أفريقيا,عام,,شعبي,الجميع,الجميع,الجميع,مساومة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,no
FR015,H سعر,آخر سعر,آخر سعر,fr,C’est mon dernier prix,هذا آخر سعر,,سي مون ديرنيه پري,أسواق/puces/مغرب,عام,,شعبي,الجميع,الجميع,الجميع,تفاوض,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,F1,no
FR016,H تفاوض,نتوسط,خلينا نتفق,fr,On coupe la poire en deux,نتوسط الفرق,نقطع الإجاصة نصفين,أون كوپ لا پوار آن دُ,فرنسا,عام,,شعبي,الجميع,الجميع,الجميع,مساومة مهذبة,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,F5,yes
FR017,H خصم,هدية/تقريب,زيادة / على الحساب,fr,C’est cadeau,هدية / على الحساب / السعر تافه,,سي كادو,فرنسا + فرنكوفونية,عام,,شعبي,الجميع,الجميع,الجميع,تقريب أو زيادة أو وصف سعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,F3,yes
FR018,G اعتراض,غالي,غالي,fr,C’est un peu cher,شوي غالي,,سي أون پُ شير,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,اعتراض مهذب,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,C’est trop cher,,عالية,F2,no
FR019,G اعتراض,رد جودة,غالي؟ شوف الجودة,fr,C’est le prix de la qualité,هذا سعر الجودة,,سي لُ پري دُ لا كاليتيه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,رد,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,F5,no
FR020,G اعتراض,بديل,خيار أرخص,fr,Je vous montre une gamme plus douce,أوريك شريحة ألطف سعرًا,,جو ڤو مونتر يون غام پلو دوس,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,تحويل,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,no
FR021,I إغلاق,تغليف,نغلفها لك؟,fr,Je vous l’emballe ?,أغلفها لكم؟,,جو ڤو لومبال,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,إغلاق ناعم,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR022,I إغلاق,دفع,كاش أو بطاقة,fr,Carte ou espèces ?,بطاقة ولا نقد؟,,كارت أو إسپيس,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,دفع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR023,K وداع,وداع كامل,مع السلامة نورتنا,fr,"Merci, au revoir, bonne journée",شكرًا مع السلامة يوم سعيد,,ميرسي، أورڤوار، بون جورنيه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,توديع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F1 F5,no
FR024,K وداع,عودة,حياك مرة ثانية,fr,À bientôt / Au plaisir de vous revoir,إلى اللقاء,,آ بيانْتو,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,توديع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,no
FR025,K دائم,المعتاد,إيش نجهز لك,fr,Comme d’habitude ?,كالعادة؟,,كوم داديتود,فرنسا,عام,,عفوي,زبون دائم,الجميع,الجميع,زبون دائم,ودود,عفوي,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,no
FR026,N غضب,استماع,معك حق,fr,Je vous écoute / Vous avez raison,أسمعكم / معكم حق,,جو ڤو زكوت,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,غاضب,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,تجنّب Calmez-vous.,,,,عالية,F5,no
FR027,N إرجاع,حل,نبدله أو نرجّع,fr,On échange ou on rembourse,نبدّل أو نرجّع المبلغ,,أون إشانج أو أون رنبورس,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,شكوى,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR028,J إضافي,مكمل,خذ معها,fr,Je vous montre ce qui va avec,أوريك اللي يمشي معه,,جو ڤو مونتر سُ كي ڤا أڤيك,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,بيع إضافي,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,no
FR029,C مخاطبة,تحذير,يا حبيبتي,fr,Chérie / ma belle,يا حبيبتي / يا جميلة — خط أحمر,,شيري / ما بيل,فرنسا,عام,,حميمي,الجميع,امرأة,الجميع,⚠️ غريبة,ودود,حميمي,منخفضة,⚠️ حساسة,,,,,عالية,F4 F5,no
FR030,C مخاطبة,تحذير tu,ألفة زائدة,fr,Tutoiement فجائي (tu),مخاطبة بـأنت بدل vous,,تو,فرنسا,عام,,حميمي,الجميع,الجميع,الجميع,زبون غريب في محل,ودود,حميمي,منخفضة,⚠️ حساسة,,,,,عالية,F4,no
FR031,E عرض,جديد,وصل اليوم,fr,C’est tout juste arrivé,وصل توّه,,سي تو جوست أريڤيه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,عرض,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,F5,no
FR032,E عرض,الأكثر مبيعًا,عليه طلب,fr,C’est notre best-seller,هذا الأكثر مبيعًا,,سي نوتر بيست سيلر,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,إثبات اجتماعي,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,F5,no
FR033,E عرض,يليق,يليق عليك,fr,Ça vous va très bien,يليق عليك جدًا,,سا ڤو ڤا تري بيان,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,أمام المرآة,ودود,محترم وودود,منخفضة,⭐ شائعة,,,,,عالية,F2,no
FR034,A جذب,سوق غذاء,زيادة مني,fr,"Je vous mets un peu plus, c’est cadeau",أزودك شوي، هدية,,جو ڤو مي أون پُ پلو، سي كادو,فرنسا,عام,,شعبي,الجميع,الجميع,الجميع,سوق خضار/جبن,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,F3 F5,no
FR035,I إغلاق,طعام,خلاص؟,fr,Ce sera tout ?,هذا كل شيء؟,,سُ سرا تو,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,مخبز/مقهى/كاشير,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F5,yes
FR036,K غير مشترٍ,وجه طيب,ولا يهمك,fr,Pas de souci. Revenez quand vous voulez,ما في مشكلة. ارجع متى ما حبيت,,پا دُ سوسي,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,لم يشترِ,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F1,no
FR037,H تفاوض,كمية,إذا أخذت اثنين,fr,"Si vous en prenez deux, je fais un effort",إذا أخذت اثنين أبذل جهدًا,,سي ڤو زان پرنيه دُ,فرنسا/أسواق,عام,,شعبي,الجميع,الجميع,الجميع,خصم مشروط,ودود,شعبي,منخفضة,⭐ شائعة,,,,,عالية,F5,no
FR038,L مغرب,حرارة سوق,عشانك,fr,C’est bon prix,سعر طيب,,سي بون پري,المغرب/تونس/الجزائر,مغرب,,شعبي,الجميع,الجميع,الجميع,مساومة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,متوسطة,F5,no
FR039,N إرجاع,فاتورة,معك الفاتورة؟,fr,Vous avez le ticket ?,معكم الإيصال؟,,ڤو زاڤيه لُ تيكيه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,إرجاع,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
FR040,E عرض,تجربة,جرّب,fr,Je vous le fais essayer,أخليك تجربه,,جو ڤو لُ فاي إيسييه,فرنسا,عام,,محترم وودود,الجميع,الجميع,الجميع,ملابس/عطر,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,F2,no
EN001,B ترحيب,ترحيب عام,يا هلا وسهلا,en,Hi there / Welcome in,أهلًا / تفضل ادخل,,هاي ذير / وِلكم إن,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,ترحيب عند الدخول,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,لا مقابل حرفي لـ«نورتونا». للدائم: Good to see you.,,,,عالية,E1 E5,no
EN002,B ترحيب,دعوة,تفضل,en,Come on in,ادخل / تفضل,,كَم أون إن,UK/US,عام,,شعبي,الجميع,الجميع,الجميع,دعوة الدخول,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Go ahead|After you,,عالية,E5,no
EN003,D اكتشاف,متفرج,بس أتفرج,en,Just browsing / just looking,بس أتفرج,,جَست براوزِنغ,UK/US,عام,,شعبي,الجميع,الجميع,الجميع,الزبون يرفض المساعدة بلطف,ودود,شعبي,منخفضة,🔥 شائعة جدًا,جملة ثقافية: غالبًا تعني اتركني. ليست مجرد ترجمة «أتفرج».,,,,عالية,E1 E2,yes
EN004,D اكتشاف,رد متفرج,خذ راحتك أنا موجود,en,I'll be right here if you need me,أنا هنا إذا احتجتني,,آيل بي رايت هير إف يو نيد مي,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,رد على just browsing,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,Take your time|No problem,,عالية,E2 E5,no
EN005,A جذب,مساعدة UK,محتاج شيء؟,en,You all right there?,محتاج مساعدة؟ (ليست سؤال صحة),هل أنت بخير هناك؟,يو أول رايت ذير,المملكة المتحدة,بريطانيا,,شعبي,الجميع,الجميع,الجميع,اقتراب من زبون في محل بريطاني,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,E5,yes
EN006,A جذب,بلا التزام,بس شوف ما بتخسر شيء,en,"Have a look, no obligation",شوف، بلا التزام,,هاف أ لوك، نو أوبليغيشن,UK/US,عام,,شعبي,الجميع,الجميع,الجميع,سوق أو بسطة,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,E3 E5,no
EN007,A جذب,منتج,جديد وصل اليوم,en,This just came in,هذا وصل توّه,,ذِس جَست كيم إن,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,عرض حداثة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,E5,no
EN008,C مخاطبة,رجل مهذب,يا أستاذ,en,Sir,يا سيد — قليلًا أو بلا لقب,,سَر,UK/US,عام,,محترم وودود,الجميع,رجل,الجميع,مخاطبة رجل,ودود,محترم وودود,منخفضة,⭐ شائعة,الإنجليزية تبيع غالبًا بلا لقب.,,,,عالية,E5,no
EN009,C مخاطبة,امرأة مهذبة,يا أستاذة,en,Ma'am / (بلا لقب),يا سيدتي أو بلا نداء,,مام,الولايات المتحدة,عام,,محترم وودود,الجميع,امرأة,الجميع,مخاطبة امرأة,ودود,محترم وودود,منخفضة,⭐ شائعة,بعض النساء يكرهن Ma'am.,,,,عالية,E5,no
EN010,C مخاطبة,تحذير,يا حبيبتي (ممنوع),en,Babe / gorgeous / honey,يا حلوة / يا عسل — خط أحمر مع غريبة,,بيب / غورجَس / هاني,UK/US,عام,,حميمي,الجميع,امرأة,الجميع,⚠️ لا تُقال لامرأة غريبة,ودود,حميمي,منخفضة,⚠️ حساسة,,,,,عالية,E5,no
EN011,D اكتشاف,تفرج أم طلب,بتدور على شيء ولا بتتفرج؟,en,Looking for anything in particular?,تدور على شيء معيّن؟,,لوكِنغ فور إني ثِنغ إن بِرتِكيولَر,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,فتح حديث,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,E1,no
EN012,E عرض,تقديم,شوف هذا,en,Have a look at this one,شوف هذا,,هاف أ لوك أت ذِس وَن,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,عرض منتج,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,E5,no
EN013,E عرض,طلب,عليه طلب,en,It's one of our bestsellers,من الأكثر مبيعًا,,بِست سيلرز,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,إثبات اجتماعي,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,E5,no
EN014,E عرض,جودة,شغل نظيف,en,It's well made — it'll last,شغل متقن ويعيش,,وِل ميد — إتِل لاست,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,مدح,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,,,,,عالية,E5,no
EN015,E عرض,يليق,يليق عليك,en,It really suits you,يليق عليك,,إِت ريلي سووتس يو,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,أمام المرآة,ودود,محترم وودود,منخفضة,🔥 شائعة جدًا,نبرة مهنية لا غزل.,,It looks great on you,,عالية,E5,no
EN016,H سعر,سؤال,بكم؟,en,How much is this?,بكم هذا؟,,هاو مَتش إز ذِس,UK/US,عام,,شعبي,الجميع,الجميع,الجميع,سؤال سعر,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,,,عالية,E1 E3,no
EN017,H سعر,ثابت,السعر ثابت,en,That's the ticket price,هذا سعر البطاقة,,تيكِت پرايس,UK/US,عام,,محترم وودود,الجميع,الجميع,الجميع,متجر حديث,ودود,محترم وودود,منخفضة,⭐ شائعة,,,That's the marked price,,عالية,E4 E5,no
EN018,H سعر,آخر سعر,آخر سعر,en,That's as low as I can go,هذا أقل سعر أقدر عليه,,ذات آز لو آز آي كان غو,UK/US أسواق,عام,,شعبي,الجميع,الجميع,الجميع,مساومة في سوق لا هاي ستريت,ودود,شعبي,منخفضة,🔥 شائعة جدًا,,,Best I can do is…,,عالية,E3,no
EN019,H خصم,شخصي,عشانك نضبطها,en,I can do a bit better,أقدر أحسّن السعر شوي,,آي كان دو أ بِت بِتَر,أسواق/تحف/سيارات,عام,,شعبي,الجميع,الجميع,الجميع,خصم إن كان مسموحًا,ودود,شعبي,منخفضة,⭐ شائعة,,,I can knock a bit off,,عالية,E3,no
